"exposure","outcome","nsnp","steiger_old","steiger_p_old","steiger_new","steiger_p_new","changed"
"BMI","HbA1c",453,"TRUE",7.944106396152e-17,"TRUE",0,FALSE
"CAD","HbA1c",147,"FALSE",2.34348927885613e-25,"TRUE",1.62417930964758e-32,TRUE
"eGFR","HbA1c",275,"TRUE",6.71002712034147e-19,"TRUE",0,FALSE
"HbA1c","BMI",110,"TRUE",0,"TRUE",0,FALSE
"HbA1c","CAD",336,"TRUE",0,"TRUE",0,FALSE
"HbA1c","eGFR",309,"TRUE",0,"TRUE",0,FALSE
"HbA1c","HDL",342,"TRUE",0,"TRUE",0,FALSE
"HbA1c","HF",318,"TRUE",0,"TRUE",0,FALSE
"HbA1c","LDL",342,"TRUE",0,"TRUE",0,FALSE
"HbA1c","SBP",281,"TRUE",0,"TRUE",0,FALSE
"HbA1c","SBP.strict",281,"TRUE",0,"TRUE",0,FALSE
"HbA1c","Stroke",289,"TRUE",0,"TRUE",0,FALSE
"HbA1c","T2D",198,"TRUE",0,"TRUE",0,FALSE
"HbA1c","TC",342,"TRUE",0,"TRUE",0,FALSE
"HbA1c","TG",342,"TRUE",0,"TRUE",0,FALSE
"HDL","HbA1c",441,"TRUE",4.57269656175957e-76,"TRUE",0,FALSE
"HF","HbA1c",40,"FALSE",1.44151320234023e-72,"FALSE",1.07102831978789e-20,FALSE
"LDL","HbA1c",379,"FALSE",0.000104344053123397,"TRUE",0,TRUE
"SBP","HbA1c",399,"TRUE",1.18880399123049e-63,"TRUE",0,FALSE
"Stroke","HbA1c",22,"FALSE",1.00361104612931e-49,"FALSE",2.49348894983674e-15,FALSE
"T2D","HbA1c",110,"FALSE",0,"FALSE",1.59244281809577e-123,FALSE
"TC","HbA1c",427,"FALSE",1.86071986984284e-06,"TRUE",0,TRUE
"TG","HbA1c",428,"FALSE",2.43117185000851e-48,"TRUE",4.56729218759368e-245,TRUE
