"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"BMI","CAD",504,0.386980879552735,0.0279435910765911,1.29633992655145e-43,0.419641152034362,2.83991272861323e-08,-0.000570346408957661,0.635915588004203,0.399736299487463,3.64515548423648e-44,1659.64813399901,1.83874447705625e-123,TRUE,0
"BMI","eGFR",505,-0.0034423941661755,0.0018827904553055,0.0674974993356676,0.00533055515088662,0.288971974758775,-0.000153653920884469,0.0601831711814338,0,1,2363.05462248681,1.76572264799424e-237,TRUE,0
"BMI","HF",501,0.524647616025081,0.0198987598338068,3.37817527193691e-153,0.571276823119628,7.47302146646088e-25,-0.000818973884220113,0.338120568317605,0.51158208206934,5.99192729678035e-73,881.805643156541,1.60867896579005e-23,TRUE,0
"BMI","Stroke",504,0.151320703449841,0.0249397594549907,1.29958355931216e-09,0.179187909178764,0.00732095824616769,-0.000486380027637671,0.651623393047552,0.127946588745467,0.000894806408547211,750.676909562897,4.44427299149799e-12,TRUE,0
"BMI","T2D",463,0.990296297660629,0.0631954506060068,2.4115907281671e-55,1.03579124195655,9.39270654361984e-10,-0.000802253230742064,0.766625596367752,1.06899701595472,3.43816264881336e-117,3090.00313300687,0,TRUE,0
"CAD","eGFR",174,-0.000684456512825539,0.00161820175863638,0.672314572508335,-0.00251794855724496,0.42741652228629,0.000116794954719484,0.500975179391017,-0.00314499974438739,0.00209915044585037,2041.39939455559,3.96334594547236e-316,TRUE,0
"CAD","HF",171,0.285128893290755,0.0122601074227689,1.21868603143507e-119,0.27178526750135,5.24938440855848e-22,0.000837433272458796,0.526820020792162,0.282935186727082,4.27102152022109e-75,355.184949825211,3.78478504163265e-15,TRUE,0
"CAD","Stroke",168,0.171125169546868,0.0204325440654845,5.5163936744356e-17,0.0921333581990699,0.0247285986382288,0.0048578141172775,0.0265112759875333,0.162304677569666,1.09088716602539e-11,510.14859415122,2.01948427113396e-36,TRUE,0
"CAD","T2D",128,0.167535619614003,0.0348757718447547,1.55696018564194e-06,-0.0112389549064477,0.870112813901504,0.0109011391552759,0.00329474978724928,0.0983214248455516,0.00183536814101599,676.462771480239,7.50781595616392e-76,TRUE,2.02227854211181e-258
"eGFR","CAD",332,0.0899496014170175,0.241362713673993,0.709391109814557,0.689385672297185,0.186625727216017,-0.00210591221001976,0.195149725835786,0.171284514044522,0.409322731331316,1787.78010495173,5.46596503012132e-198,TRUE,0
"eGFR","HF",326,0.123978437133933,0.16415028025561,0.450084601624816,0.45770684743337,0.200007389331102,-0.00117265646274883,0.292308277743352,0.0672707471023673,0.727157996274688,831.90932676641,3.60392955830264e-46,TRUE,0
"eGFR","Stroke",320,-0.099493782378476,0.188566054377929,0.597753681295581,0.277090331823798,0.504160192000647,-0.00130697566548704,0.308208008139789,0.206317114358998,0.388573280078365,557.233132571087,3.34575399016708e-15,TRUE,0
"eGFR","T2D",232,0.398466210335823,0.337671844751999,0.237984392621909,0.473631583284738,0.540140957969214,-0.000256715282206663,0.913830849847453,0.64537199946336,0.0680823670464172,728.611878659814,6.30353676633464e-53,TRUE,0
"HbA1c","CAD",336,0.183767238152452,0.0250328855969299,2.11951607085891e-13,0.117693202222283,0.00667228962924732,0.00231925020021397,0.0611448663263624,0.149621651171161,6.25332646534874e-10,1469.33457088943,1.5420250193298e-141,TRUE,0
"HbA1c","eGFR",309,-0.000757930440427057,0.00183006822095093,0.678761181060627,-0.00156616212515078,0.628655012966742,2.81808350082557e-05,0.76196515907072,0,1,2234.6613420822,7.63374096588348e-289,TRUE,0
"HbA1c","HF",318,0.0481527213206198,0.0197702368697487,0.0148664236577441,-0.0375681364733845,0.26839810651212,0.00301634038663101,0.00215114012514676,-0.0264694895569775,0.208004520002873,873.811910493504,1.38126978938928e-53,TRUE,0
"HbA1c","Stroke",289,0.112782586820416,0.022451044044702,5.07409671573339e-07,0.0285086892132104,0.478315275424696,0.00277447976944136,0.012251536217443,0.0599598781413388,0.0487287993806528,479.343781681207,9.98018991895523e-12,TRUE,0
"HbA1c","T2D",198,1.06101996931874,0.0956453886252397,1.35253875136005e-28,0.723336824889716,3.08787832116675e-05,0.0111138753107149,0.0173688263838207,0.492669839305487,1.36061989929522e-15,3356.63372911188,0,TRUE,0
"HDL","CAD",557,-0.30532568664138,0.0269017058079595,7.44366932306188e-30,-0.209022042002642,9.97243501917029e-08,-0.00324534202348112,0.000652641629902097,-0.192627772001898,4.1982561453475e-10,2961.6088828873,1.97626258336499e-323,TRUE,0
"HDL","eGFR",487,0.000756051140751559,0.00208033290544818,0.716285219643782,-0.00456698719805361,0.137244607047594,0.000174796629232225,0.0191028439503607,0,1,4845.71761988384,0,TRUE,0
"HDL","HF",476,-0.123455803647606,0.0202228993667215,1.02959841099553e-09,-0.0185760301271907,0.527245742872505,-0.00336296238129229,1.84331700055238e-06,-0.0994149093712804,0.000177222818162708,1387.58813763894,3.42030734874749e-90,TRUE,0
"HDL","Stroke",448,-0.0998803641958586,0.0217748757901579,4.49758681008011e-06,-0.00872365465770916,0.7881641312322,-0.00281116298314176,0.000203110192781841,-0.0674221607942081,0.0220407747966846,760.834621403074,1.12080716025881e-18,TRUE,0
"HDL","T2D",306,-0.487547910421763,0.0587572318083835,1.06176290129579e-16,-0.0352709798186127,0.688107564628773,-0.0123390375688406,1.69171044200267e-10,-0.177825668251086,0.000727401412904922,1822.43868810899,4.98611389781105e-214,TRUE,0
"HF","CAD",45,0.806897542357364,0.149434982613516,6.6768697928131e-08,1.77937533534051,0.000195343567644997,-0.0417218770249636,0.0231727668835403,0.317303962883135,9.59743361841458e-13,1971.76713240396,0,FALSE,4.31835342254225e-43
"HF","eGFR",46,-0.00340788772327586,0.00403637904022713,0.398505536986744,-0.022108226221591,0.0713189700364986,0.000825756698675369,0.104711025073984,-0.00327678041268293,0.160048141558719,504.748599423026,5.01894731507075e-79,TRUE,2.17207944602196e-30
